Waiting for serial port to connect: .....
Setting serial port parameters... Ok
Initiating communication... Ok
0x20000ef4	0x0000
0x20000ef8	0x0000
0x20000efc	0x0000
0x20000f00	0x0000
0x20000f04	0x0000
0x20000f08	0x0000
0x20000f0c	0x0000
0x20000f10	0x0000
0x20000f14	0x0000
0x20000f18	0x0000
0x20000f1c	0x0000
0x20000f20	0x0000
0x20000f24	0x0000
0x20000f28	0x0000
0x20000f2c	0x0000
0x20000f30	0x0000
0x20000f34	0x0000
0x20000f38	0x0000
0x20000f3c	0x0000
0x20000f40	0x0000
0x20000f44	0x0000
0x20000f48	0x0000
0x20000f4c	0x0000
0x20000f50	0x0000
0x20000f54	0x0000
0x20000f58	0x0000
0x20000f5c	0x0000
0x20000f60	0x0000
0x20000f64	0x0000
0x20000f68	0x0000
0x20000f6c	0x0000
0x20000f70	0x0000
0x20000f74	0x0000
0x20000f78	0x0000
0x20000f7c	0x0000
0x20000f80	0x0000
0x20000f84	0x0000
0x20000f88	0x0000
0x20000f8c	0x0000
0x20000f90	0x0000
0x20000f94	0x0000
0x20000f98	0x0000
0x20000f9c	0x0000
0x20000fa0	0x0000
0x20000fa4	0x0000
0x20000fa8	0x0000
0x20000fac	0x0000
0x20000fb0	0x0000
0x20000fb4	0x0000
0x20000fb8	0x0000
0x20000fbc	0x0000
0x20000fc0	0x0000
0x20000fc4	0x0000
0x20000fc8	0x0000
0x20000fcc	0x0000
0x20000fd0	0x0000
0x20000fd4	0x0000
0x20000fd8	0x0000
0x20000fdc	0x0000
0x20000fe0	0x0000
0x20000fe4	0x0000
0x20000fe8	0x0000
0x20000fec	0x0000
0x20000ff0	0x0000
0x20000ff4	0x0000
0x20000ff8	0x0000
0x20000ffc	0x0000
0x20001000	0xca00
0x20001004	0x0000
0x20001008	0x6735
0x2000100c	0x8b00
0x20001010	0x0000
0x20001014	0x0000
0x20001018	0x0000
0x2000101c	0x0000
0x20001020	0x0000
0x20001024	0x0000
0x20001028	0x0000
0x2000102c	0x0000
0x20001030	0x0000
0x20001034	0x0000
0x20001038	0x0000
0x2000103c	0x0000
0x20001040	0x0000
0x20001044	0x0000
0x20001048	0x0000
0x2000104c	0x0000
0x20001050	0x0000
0x20001054	0x0000
0x20001058	0x0000
0x2000105c	0x0000
0x20001060	0x0000
0x20001064	0x0000
0x20001068	0x0000
0x2000106c	0x0000
0x20001070	0x0000
0x20001074	0x0000
0x20001078	0x0000
0x2000107c	0x0000
0x20001080	0x0000
0x20001084	0x0000
0x20001088	0x0000
0x2000108c	0x0000
0x20001090	0x0000
0x20001094	0x0000
0x20001098	0x0000
0x2000109c	0x0000
0x200010a0	0x0000
0x200010a4	0x0000
0x200010a8	0x0000
0x200010ac	0x0000
0x200010b0	0x0000
0x200010b4	0x0000
0x200010b8	0x0000
0x200010bc	0x0000
0x200010c0	0x0000
0x200010c4	0x0000
0x200010c8	0x0000
0x200010cc	0x0000
0x200010d0	0x0000
0x200010d4	0x0000
